movieId,title,genres
40697,Babylon 5,Sci-Fi
140956,Ready Player One,Action|Sci-Fi|Thriller
143410,Hyena Road,(no genres listed)
147250,The Adventures of Sherlock Holmes and Doctor Watson,(no genres listed)
149334,Nocturnal Animals,Drama|Thriller
156605,Paterson,(no genres listed)
162414,Moonlight,Drama
167570,The OA,(no genres listed)
171495,Cosmos,(no genres listed)
171631,Maria Bamford: Old Baby,(no genres listed)
171891,Generation Iron 2,(no genres listed)
176601,Black Mirror,(no genres listed)
